target,cohort,rhyme,ur,time
-0.01,-0.01,-0.01,-0.01,75
-0.01,-0.01,-0.01,-0.01,91
-0.01,-0.01,-0.01,-0.01,107
-0.01,-0.01,-0.01,-0.01,123
-0.01,-0.01,-0.01,-0.01,139
-0.00999951882010582,-0.00999964001111111,-0.00999954066666667,-0.00999926355820106,155
-0.00992720457195767,-0.00993144146031746,-0.00998792785661376,-0.00999653527989418,171
-0.00867176697962963,-0.00868758338968254,-0.0097613788578836,-0.00995674177936508,187
-0.00348571879368042,-0.00352591401193439,-0.00796194254322751,-0.00961226029424339,203
0.00535084032973545,0.00527573770888889,-0.00421592809515344,-0.00878947680977249,219
0.0135306370361005,0.0133315005220794,-0.000048305749325926,-0.00817552361047619,235
0.0237445346489788,0.0233922104955397,0.00129803108500769,-0.00850980683094709,251
0.0312544538941799,0.0306286626116402,0.000555712289671958,-0.00965004701972857,267
0.0375000427932275,0.0368105030720106,-0.00100300832018524,-0.0127279543258201,283
0.0446084324216243,0.0434272723373915,-0.00336423137607407,-0.0172068584675132,299
0.0530116530142857,0.0517831064724868,-0.00540617446024868,-0.0222260621359788,315
0.0628946290164021,0.0612754156063492,-0.00781588707439154,-0.0281116660792593,331
0.0733345551669312,0.071149369981746,-0.010812029728545,-0.0342900105169312,347
0.0841209512399471,0.0816183057373016,-0.0138820967943101,-0.0410840223587302,363
0.0956418655661905,0.0922080037418518,-0.0170867533398466,-0.0481365376687831,379
0.108685093266878,0.10318773661291,-0.0200964856915608,-0.0551675120232804,395
0.123562541579312,0.114292671614233,-0.0228012700795873,-0.0619763741703704,411
0.140124937982857,0.125347129347407,-0.0251969980853122,-0.0692142183608466,427
0.15751741955873,0.13588247752328,-0.0274121671644656,-0.0763783377111111,443
0.175251348903704,0.145214313098942,-0.0298671625474709,-0.0831616122396826,459
0.193100196022751,0.153793310303175,-0.0320336434355556,-0.0899976646338624,475
0.212074074074074,0.161248677248677,-0.0340892902648677,-0.0962041374809524,491
0.232433862433862,0.16773544973545,-0.035211006563127,-0.102145920892063,507
0.253412698412698,0.173216931216931,-0.0366080882918836,-0.107807237490476,523
0.27494708994709,0.177132275132275,-0.0371857147863862,-0.113045298424339,539
0.296730158730159,0.179873015873016,-0.0376342588671429,-0.117964371462434,555
0.318634920634921,0.180790116606878,-0.0384309903458413,-0.122749247112698,571
0.340153439153439,0.180523614920106,-0.0385766182461958,-0.127013548992751,587
0.361984126984127,0.178505463521746,-0.0384024972440794,-0.131166485774709,603
0.383587301587302,0.175308404164021,-0.0384080214998677,-0.135220764914815,619
0.404687830687831,0.170453926649444,-0.0386430084039153,-0.138971973543704,635
0.424761904761905,0.164105792955661,-0.0384590818693122,-0.142579084940106,651
0.444185185185185,0.156909939254762,-0.0388330271085661,-0.145941959086243,667
0.462349206349206,0.14839808223,-0.039601355127545,-0.149164638035608,683
0.479550264550265,0.138739904644561,-0.0404636172477249,-0.151959906691534,699
0.495661375661376,0.128513200736667,-0.0414609739813757,-0.154791055243915,715
0.510746031746032,0.117581808504561,-0.042702853724127,-0.157429547149841,731
0.524793650793651,0.106145932292381,-0.0441938539948598,-0.159645027464392,747
0.537650793650794,0.0940727288973069,-0.0459999198315344,-0.161936970615238,763
0.549555555555556,0.0819504040645344,-0.0474402475565238,-0.163776843747249,779
0.560592592592593,0.0697189901490545,-0.0490307186375132,-0.165453627946667,795
0.570343915343915,0.0578737324224868,-0.0507057972416349,-0.166921638728312,811
0.579306878306878,0.0458688191722698,-0.0524627617594709,-0.168476236246508,827
0.587534391534392,0.034197545850582,-0.0539673751439154,-0.169893138544921,843
0.595031746031746,0.0229677102425979,-0.0556109386625926,-0.170788046629937,859
0.601455026455026,0.0119172374757672,-0.0569729895003175,-0.171646584562593,875
0.607497354497355,0.00157694910206349,-0.0584387419904085,-0.172597725859931,891
0.612603174603175,-0.00836191016756614,-0.0599700454668783,-0.173591563603175,907
0.617285714285714,-0.0177769061164021,-0.0612510886497884,-0.174268566848307,923
0.621513227513228,-0.0266909315494709,-0.0625155688777249,-0.17474054145291,939
0.624941798941799,-0.0349750750049206,-0.0638452221212169,-0.175193245493228,955
0.628238095238095,-0.0426642273038005,-0.0650203703241164,-0.175649928849683,971
0.631079365079365,-0.0498150903923402,-0.066067617600582,-0.17608726665727,987
0.633306878306878,-0.0564379291034392,-0.0672669246587302,-0.176378628397989,1003
0.635301587301587,-0.0624351212258307,-0.0681684119791711,-0.176604965037037,1019
0.637375661375661,-0.0682338873979894,-0.0691905592679894,-0.176816936433333,1035
0.638566137566138,-0.0735139352467302,-0.069932292681799,-0.176973268377831,1051
0.63973544973545,-0.0785597210751852,-0.0708202185458392,-0.177203252738624,1067
0.640534391534392,-0.0831855682392381,-0.0715390445904762,-0.177306348961905,1083
0.641349206349206,-0.0874404563939154,-0.0722638639102064,-0.177245377669778,1099
0.641952380952381,-0.0913235792199471,-0.0730449781382804,-0.177317824688132,1115
0.642148148148148,-0.095134030487672,-0.0737341798361905,-0.177365931174021,1131
0.642476190476191,-0.0985166896136508,-0.0743487801947619,-0.177346225511323,1147
0.642428571428571,-0.101426875272116,-0.0748264087630053,-0.177328021827831,1163
0.642291005291005,-0.104349586682217,-0.0753248281578836,-0.17724141240582,1179
0.642162426651852,-0.107282646588307,-0.0757845938059259,-0.177139605439153,1195
0.641631028156085,-0.109689626383937,-0.076265690773545,-0.177090785182011,1211
0.6412372999709,-0.111923108602429,-0.0766258406601587,-0.17698843651619,1227
0.640790761950794,-0.114187782915926,-0.0770286236460318,-0.176923325849735,1243
